100015755090;9301-SS4344-003-TRANS;PFP96441;Ithaca;4344;4344-#2BK                         -TRANS;W;34.5;CUST;7500;1974;47;N;
100015753419;9301-SS4235-030-TRANS;B686152;Geneva;SENECA ORDNANCE;SENECA ORDNANCE -1BK -TRANS-X;GE;34.4;CUST;1667;1954;67;N;
100015753420;9301-SS4235-031-TRANS;B686154;Geneva;SENECA ORDNANCE;SENECA ORDNANCE -1BK -TRANS-Y;GE;34.4;CUST;1667;1954;67;N;
100016120403;9301-SS2478-112-TRANS;13B06232;Liberty;COOPERS CORNERS;COOPERS CORNERS -R1 -SHUNT REACTOR;TBEA;345;CUST;200000;2014;7;N;
100015763584;9301-SS8168-003-TRANS;E690861A;Binghamton;8168;8168-CHERRY                       -TRANS;GE;45;CUST;1667;2005;16;N;
100015763585;9301-SS8168-003-TRANS;E690861B;Binghamton;8168;8168-CHERRY                       -TRANS;GE;45;CUST;1667;2005;16;N;
100015763586;9301-SS8168-003-TRANS;E690861C;Binghamton;8168;8168-CHERRY                       -TRANS;GE;45;CUST;1667;2005;16;N;
100015753421;9301-SS4235-032-TRANS;B686153;Geneva;SENECA ORDNANCE;SENECA ORDNANCE -1BK -TRANS-Z;GE;34.4;CUST;1667;1954;67;N;
100015760314;9301-SS5339-002-TRANS;A2509T;Hornell;AVOCA;AVOCA -1BK -TRANS;WAU;230;CUST;24000;1996;25;N;
100015763828;9301-SS8181-001-TRANS;MLH50571;Binghamton;ROBBLE AVE;ROBBLE AVE-TRANS;W;115;CUST;;1985;36;N;
100015763829;9301-SS8181-001-TRANS;MLH50572;Binghamton;ROBBLE AVE;ROBBLE AVE-TRANS;W;115;CUST;;1985;36;N;
100015755182;9301-SS4392-001-TRANS;C4677211;Ithaca;MILLIKEN;MILLIKEN -TRANS;ME;13.8;CUST;;1992;29;N;
100015758524;9301-SS5276-002-TRANS;312781011;Elmira;CORNING DCMF;CORNING DCMF - 1 BK -TRANS;K;115;CUST;12000;2001;20;Y;Y
100015755183;9301-SS4392-001-TRANS;M160907;Ithaca;MILLIKEN;MILLIKEN -TRANS;GE;34.5;CUST;;1990;31;N;
100015755184;9301-SS4392-001-TRANS;M162639A;Ithaca;MILLIKEN;MILLIKEN -TRANS;GE;18;CUST;;1993;28;N;
100015761080;9301-SS8105-001-TRANS;H881659;Binghamton;GOUDEY;GOUDEY-TRANS;GE;45;CUST;;2005;16;N;
100015761104;9301-SS8105-001-TRANS;8800325;Binghamton;GOUDEY;GOUDEY-TRANS;SD;45;CUST;;2005;16;N;
100015753188;9301-SS4230-001-TRANS;A6994T;Geneva;GREENIDGE;GREENIDGE -TRANS;ASA;45;CUST;;2005;16;N;
100015753189;9301-SS4230-001-TRANS;A6995T;Geneva;GREENIDGE;GREENIDGE -TRANS;ASA;45;CUST;;2005;16;N;
100015753438;9301-SS4234-001-TRANS;3162088;Geneva;GARLOCKS;GARLOCKS -TRANS;;45;CUST;;2005;16;N;
