NYSEG;100015763481;18224536801;Fuller Hollow 2B
NYSEG;100015764182;58226608812;N Endicott 2B
NYSEG;100015760808;G860087B;Noyes Island 2B
NYSEG;100015754933;G860087A;Noyes Island 6B
CMP;100016143938;6996923;Spare
CMP;100015804722;5-0140-00156-1;Detroit 812T
CMP;100015784079;5-0140-00156-2;Crowleys 411T1
CMP;100015777870;L249535B;Camden 214T1
RGE;100015720262;PFR91132;Sta 416 1T
RGE;100015720302;PFR91131;Sta 416 2T
