GRANVILLE;100015735617;GRANVILLE -2BK -TRANS;;;1163
GRANVILLE;100015735620;GRANVILLE -2BK -TRANS;;;1163
GRANVILLE;100015735623;GRANVILLE -2BK -TRANS;;;1163
SALEM NEW;100015735719;SA NEW -1BK -TRANS;;;2429
COMSTOCK - GRANVILLE;100015735794;COMSTOCK -1BK -TRANS;;;2729
COONS CROSSING;100015736143;COONS CROSSING -1BK -TRANS;;;209
COONS CROSSING;100015736146;COONS CROSSING -1BK -TRANS;;;209
COONS CROSSING;100015736148;COONS CROSSING -1BK -TRANS;;;209
STILLWATER;100015736205;STILLWATER -1BK -TRANS;;;983
STILLWATER;100015736208;STILLWATER -1BK -TRANS;;;983
STILLWATER;100015736210;STILLWATER -1BK -TRANS;;;983
RUTLAND;100015736269;RUTLAND -1BK -TRANS;;;1066
RUTLAND;100015736272;RUTLAND -1BK -TRANS;;;1066
RUTLAND;100015736275;RUTLAND -1BK -TRANS;;;1066
STEPHENTOWN;100015736347;STEPHENTOWN -1BK -TRANS;;;1033
STEPHENTOWN;100015736350;STEPHENTOWN -1BK -TRANS;;;1033
STEPHENTOWN;100015736353;STEPHENTOWN -1BK -TRANS;;;1033
STEPHENTOWN;100015736386;STEPHENTOWN -2BK -TRANS;115;34.5;1877
WYNANTSKILL;100015736503;WYNANTSKILL -2BK -TRANS;;;6208
WYNANTSKILL;100015736570;WYNANTSKILL -1BK -TRANS;;;2017
CANAAN;100015736690;CANAAN -1BK -TRANS;;;853
CANAAN;100015736693;CANAAN -1BK -TRANS;;;853
CANAAN;100015736696;CANAAN -1BK -TRANS;;;853
MELLONVILLE;100015736714;MELLONVILLE -1BK -TRANS;;;1570
MELLONVILLE;100015736717;MELLONVILLE -1BK -TRANS;;;1570
MELLONVILLE;100015736767;MELLONVILLE -1BK -TRANS;;;1570
CHATHAM;100015736805;CHATHAM -1BK -TRANS;;;1067
CHATHAM;100015736808;CHATHAM -1BK -TRANS;;;1067
CHATHAM;100015736810;CHATHAM -1BK -TRANS;;;1067
WEST SAND LAKE;100015736891;W SAND LAKE -1BK -TRANS;;;449
WEST SAND LAKE;100015736915;W SAND LAKE -1BK -TRANS;;;449
WEST SAND LAKE;100015736918;W SAND LAKE -1BK -TRANS;;;449
WEST LEBANON;100015736927;W LEBANON -1BK -TRANS;;;1604
WEST LEBANON;100015736930;W LEBANON -1BK -TRANS;;;1604
WEST LEBANON;100015736933;W LEBANON -1BK -TRANS;;;1604
WEST LEBANON;100015736936;W LEBANON -1BK -TRANS;;;1604
CROOKED LAKE;100015737065;CROOKED LAKE -1BK -TRANS;;;1379
CROOKED LAKE;100015737068;CROOKED LAKE -1BK -TRANS;;;1379
CROOKED LAKE;100015737071;CROOKED LAKE -1BK -TRANS;;;1379
CRARYVILLE;100015737112;CRARYVILLE -1BK -TRANS;;;1763
CRARYVILLE;100015737116;CRARYVILLE -3BK -TRANS;;;6080
SALEM OLD;100015737236;SA OLD -1BK -TRANS;;;932
SALEM OLD;100015737239;SA OLD -1BK -TRANS;;;932
SALEM OLD;100015737242;SA OLD -1BK -TRANS;;;932
KLINE KILL;100015737333;KLINE KILL -1BK -TRANS;115;34.5;4226
MULBERRY;100015737509;MULBERRY -1BK -TRANS;;;6759
MULBERRY;100015737515;MULBERRY -2BK -TRANS;;;4180
;100015737779;RESERVE 15 -TRANS;;;0
;100015737781;RESERVE 15 -TRANS;;;0
;100015737783;RESERVE 15 -TRANS;;;0
;100015737785;RESERVE 15 -TRANS;;;0
;100015737787;RESERVE 15 -TRANS;;;0
;100015737789;RESERVE 15 -TRANS;;;0
;100015737791;RESERVE 15 -TRANS;;;0
;100015737797;RESERVE 15 -TRANS;;;0
;100015737799;RESERVE 15 -TRANS;;;0
;100015737801;RESERVE 15 -TRANS;;;0
