EQUIP;OPCO;SUBST;TRANSFORMER_BANK;LOWSIDE_VOLTAGE;CNR_MVA;CALC_PLBN_RATING;THERMAL_STUDY_RATING;LIMITING_ELEMENT;RATING_MVA;YEAR;SUMMER_PEAK_LOAD_MVA
100015762176;NYSEG;APPALACHIN 4.8KV;SUB-TRF  3-1667KVA;4.8;5;5.5;;;5.5;2011;1.66
100015762715;NYSEG;BERKSHIRE 4.8KV;SUB-TRF 1-3/3.750/4.;4.8;4.2;4.62;;;4.62;2011;1.43
100015763876;NYSEG;BEVIER ST 12.5KV;SUB-TRF 1-5/6.25/0/0;12.5;6.25;6.88;;;6.88;2011;1.69
100015762196;NYSEG;BODLE HILL 4.8KV;SUB-TRF 3-2500KVA;4.8;7.5;8.25;;;8.25;2011;5.0199999999999996
100015762197;NYSEG;BODLE HILL 4.8KV;SUB-TRF 3-2500KVA;4.8;7.5;8.25;;;8.25;2011;5.0199999999999996
100015762198;NYSEG;BODLE HILL 4.8KV;SUB-TRF 3-2500KVA;4.8;7.5;8.25;;;8.25;2011;5.0199999999999996
100015760684;NYSEG;BURR AVE#1 12.5KV;SUB-TF 3-2.5/3.1/0/3;12.5;10.5;11.55;;;11.55;2011;4.68
100015760685;NYSEG;BURR AVE#1 12.5KV;SUB-TF 3-2.5/3.1/0/3;12.5;10.5;11.55;;;11.55;2011;4.68
100015760686;NYSEG;BURR AVE#1 12.5KV;SUB-TF 3-2.5/3.1/0/3;12.5;10.5;11.55;;;11.55;2011;4.68
100015760687;NYSEG;BURR AVE#2 4.8KV;SUB-TRF 1-5.0/6.25/7;4.8;7;7.7;;;7.7;2011;5.27
100015762719;NYSEG;CASTLEGDN 12.5KV;S-T 3-3333/4166/0/46;12.5;14;15.4;;;15.4;2011;12.35
100015762720;NYSEG;CASTLEGDN 12.5KV;S-T 3-3333/4166/0/46;12.5;14;15.4;;;15.4;2011;12.35
100015762721;NYSEG;CASTLEGDN 12.5KV;S-T 3-3333/4166/0/46;12.5;14;15.4;;;15.4;2011;12.35
100015763518;NYSEG;CENTER VIL 4.8KV;SUB-TRF 1 - 3.75 MVA;4.8;2.8;3.08;;;3.08;2011;2
100015762130;NYSEG;CHENAGO BR 4.8KV;S-TRF 1-7.5/9.375/10;4.8;10.5;11.55;;;11.55;2011;7.5
100015762563;NYSEG;CHENAGO FK 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;0.75
100015762564;NYSEG;CHENAGO FK 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;0.75
100015762565;NYSEG;CHENAGO FK 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;0.75
100015762558;NYSEG;CINCINATUS 4.8KV;SUB-TRF 3-1000KVA;4.8;3;3.3;;;3.3;2011;1.88
100015762576;NYSEG;CINCINATUS 4.8KV;SUB-TRF 3-1000KVA;4.8;3;3.3;;;3.3;2011;1.88
100015762587;NYSEG;CINCINATUS 4.8KV;SUB-TRF 3-1000KVA;4.8;3;3.3;;;3.3;2011;1.88
100015761621;NYSEG;CLARK ST 12.5KV #3;LTC 1-20/26.7/33.3/3;12.5;37.299999999999997;41.03;;;41.03;2011;7.78
100015761638;NYSEG;CLARK ST 12.5KV #4;LTC 1-20/26.7/33.3/3;12.5;37.299999999999997;41.03;;;41.03;2011;7.78
100015761609;NYSEG;CLARK ST 4.8KV #1;SUB-TRF 3-2.5/3.1/0/;4.8;10.5;11.55;;;11.55;2011;1.86
100015761610;NYSEG;CLARK ST 4.8KV #1;SUB-TRF 3-2.5/3.1/0/;4.8;10.5;11.55;;;11.55;2011;1.86
100015761611;NYSEG;CLARK ST 4.8KV #1;SUB-TRF 3-2.5/3.1/0/;4.8;10.5;11.55;;;11.55;2011;1.86
100015761614;NYSEG;CLARK ST 4.8KV #2;SUB-TRF 3-2.5/3.1/0/;4.8;10.5;11.55;;;11.55;2011;1.86
100015761615;NYSEG;CLARK ST 4.8KV #2;SUB-TRF 3-2.5/3.1/0/;4.8;10.5;11.55;;;11.55;2011;1.86
100015761616;NYSEG;CLARK ST 4.8KV #2;SUB-TRF 3-2.5/3.1/0/;4.8;10.5;11.55;;;11.55;2011;1.86
100015762144;NYSEG;CONKLIN 4.8KV;SUB-TRF 3-1667/0/0/0;4.8;5;5.5;;;5.5;2011;3.85
100015762145;NYSEG;CONKLIN 4.8KV;SUB-TRF 3-1667/0/0/0;4.8;5;5.5;;;5.5;2011;3.85
100015762146;NYSEG;CONKLIN 4.8KV;SUB-TRF 3-1667/0/0/0;4.8;5;5.5;;;5.5;2011;3.85
100015761851;NYSEG;ENDICOTT HL#1 4.8KV;SUB-TRF 3-1667/1917K;4.8;5.75;6.33;;;6.33;2011;4.68
100015761852;NYSEG;ENDICOTT HL#1 4.8KV;SUB-TRF 3-1667/1917K;4.8;5.75;6.33;;;6.33;2011;4.68
100015761853;NYSEG;ENDICOTT HL#1 4.8KV;SUB-TRF 3-1667/1917K;4.8;5.75;6.33;;;6.33;2011;4.68
100015761808;NYSEG;ENDICOTT RL 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;10.5;11.55;;;11.55;2011;5.03
100015761809;NYSEG;ENDICOTT RL 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;10.5;11.55;;;11.55;2011;5.03
100015761810;NYSEG;ENDICOTT RL 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;10.5;11.55;;;11.55;2011;5.03
100015762250;NYSEG;FLEMINGVIL 4.8KV;SUB-TRF 3-833KVA;4.8;2.5;2.75;;;2.75;2011;1.66
100015762251;NYSEG;FLEMINGVIL 4.8KV;SUB-TRF 3-833KVA;4.8;2.5;2.75;;;2.75;2011;1.66
100015762252;NYSEG;FLEMINGVIL 4.8KV;SUB-TRF 3-833KVA;4.8;2.5;2.75;;;2.75;2011;1.66
100015763481;NYSEG;FULLER HOL 12.5KV;LTC-TF 1-12/16/20/22;12.5;22.4;24.64;;;24.64;2011;10.4
100015763954;NYSEG;GANNETT;SUB-TRF 1-5/6.25 MVA;12.5;0;0;;;0;2011;
;NYSEG;GLEN AUBRY 4.8KV;STEP-TRF 1-667KVA;4.8;0.67;0.73;;;0.73;2011;0
100015761374;NYSEG;GLENWOOD#1 4.8KV;SUB-TRF 1-10/14 MVA;4.8;5;5.5;;;5.5;2011;6.66
100015761375;NYSEG;GLENWOOD#1 4.8KV;SUB-TRF 1-10/14 MVA;4.8;5;5.5;;;5.5;2011;6.66
100015761395;NYSEG;GLENWOOD#1 4.8KV;SUB-TRF 1-10/14 MVA;4.8;5;5.5;;;5.5;2011;6.66
100015761376;NYSEG;GLENWOOD#2 4.8KV;SUB-TRF 1-10/14 MVA;4.8;5;5.5;;;5.5;2011;6.66
100015761377;NYSEG;GLENWOOD#2 4.8KV;SUB-TRF 1-10/14 MVA;4.8;5;5.5;;;5.5;2011;6.66
100015761378;NYSEG;GLENWOOD#2 4.8KV;SUB-TRF 1-10/14 MVA;4.8;5;5.5;;;5.5;2011;6.66
;NYSEG;GOUDEY STA 4.8KV;2 SUB-TRF 1-5/6.25/0;4.8;12.5;13.75;;;13.75;2011;7.12
100015762593;NYSEG;GREENE 4.8KV;SUB-TRF 3-833KVA;4.8;2.5;2.75;;;2.75;2011;1.05
100015762594;NYSEG;GREENE 4.8KV;SUB-TRF 3-833KVA;4.8;2.5;2.75;;;2.75;2011;1.05
100015762595;NYSEG;GREENE 4.8KV;SUB-TRF 3-833KVA;4.8;2.5;2.75;;;2.75;2011;1.05
100015760750;NYSEG;HARPUR#1 4.8KV;LTC 1-7.5/9.375/0/10;4.8;10.5;11.55;;;11.55;2011;4.4400000000000004
100015760751;NYSEG;HARPUR#2 4.8KV;LTC 1-7.5/9.375/0/10;4.8;10.5;11.55;;;11.55;2011;4.4400000000000004
100015760752;NYSEG;HARPUR#3 4.8KV;LTC 1-3.75/0/0/4.2MV;4.8;4.2;4.62;;;4.62;2011;0
100015760762;NYSEG;HARPUR#4 4.8KV;LTC 1-3.75/0/0/4.2MV;4.8;4.2;4.62;;;4.62;2011;0
100015761564;NYSEG;HOOPER 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;9.3800000000000008;10.31;;;10.31;2011;9.3000000000000007
100015761576;NYSEG;HOOPER 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;9.3800000000000008;10.31;;;10.31;2011;9.3000000000000007
100015761577;NYSEG;HOOPER 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;9.3800000000000008;10.31;;;10.31;2011;9.3000000000000007
100015761489;NYSEG;JARVIS ST#1 4.8KV;LTC-TRF 1-7.5/9.375/;4.8;9.3800000000000008;10.31;;;10.31;2011;4.84
100015761490;NYSEG;JARVIS ST#2 4.8KV;LTC-TRF 1-7.5/9.375/;4.8;9.3800000000000008;10.31;;;10.31;2011;4.84
100015762335;NYSEG;LANGDON#1 12.5KV;LTC 1-12/16/20/22.4M;12.5;22.4;24.64;;;24.64;2011;7.88
100015762337;NYSEG;LANGDON#2A 12.5KV;LTC 1-7.5/9.375/0/10;12.5;10.5;11.55;;;11.55;2011;3.92
100015762338;NYSEG;LANGDON#2B 12.5KV;LTC 1-7.5/9.375/O/10;12.5;10.5;11.55;;;11.55;2011;4.71
100015763647;NYSEG;LOCKHEED#1 12.5KV;LTC-TRF 1-12/0/0/13.;12.5;13.44;14.78;;;14.78;2011;2
100015763648;NYSEG;LOCKHEED#2 12.5KV;LTC-TRF 1-12/0/0/13.;12.5;13.44;14.78;;;14.78;2011;6
100015762489;NYSEG;LOUNSBERRY 12.5KV;S-TRF 3-3333KVA;12.5;10;11;;;11;2011;5
100015762490;NYSEG;LOUNSBERRY 12.5KV;S-TRF 3-3333KVA;12.5;10;11;;;11;2011;5
100015762491;NYSEG;LOUNSBERRY 12.5KV;S-TRF 3-3333KVA;12.5;10;11;;;11;2011;5
100016680303;NYSEG;LOURDES12.5KV PAD;LTC-TRF 1-7500KVA;12.5;3.75;4.13;;;4.13;2011;3.69
100015762262;NYSEG;MAINE 4.8KV;S-TRF 3-1667/2083/0/;4.8;6.25;6.88;;;6.88;2011;3.02
100015762263;NYSEG;MAINE 4.8KV;S-TRF 3-1667/2083/0/;4.8;6.25;6.88;;;6.88;2011;3.02
100015762264;NYSEG;MAINE 4.8KV;S-TRF 3-1667/2083/0/;4.8;6.25;6.88;;;6.88;2011;3.02
100015762766;NYSEG;MORNINGSIDE 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;5.19
100015762767;NYSEG;MORNINGSIDE 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;5.19
100015762768;NYSEG;MORNINGSIDE 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;5.19
100015760622;NYSEG;MORRIS ST#1 4.8KV;SUB-TRF 1-5/6.25/0/0;4.8;6.25;6.88;;;6.88;2011;4.4400000000000004
100015760624;NYSEG;MORRIS ST#2 4.8KV;SUB-TRF 1-5/6.25/0/0;4.8;6.25;6.88;;;6.88;2011;4.4400000000000004
100015762025;NYSEG;NOWLAN RD#3 4.8KV;S-TRF 1-7.5/9.375/10;4.8;10.5;11.55;;;11.55;2011;5.92
100015760805;NYSEG;NOYES ISL#1 8.32KV;LTC-TRF 1-7.5/0/0/8.;8.32;8.4;9.24;;;9.24;2011;5.01
100015760806;NYSEG;NOYES ISL#2 12.5KV;LTC-TF 1-12/16/20/22;12.5;22.4;24.64;;;24.64;2011;7.68
100015760807;NYSEG;NOYES ISL#5 8.32KV;LTC-TRF 1-7.5/0/0/8.;8.32;8.4;9.24;;;9.24;2011;5.01
100015760808;NYSEG;NOYES ISL#6 12.5KV;LTC-TF 1-12/16/20/22;12.5;22.4;24.64;;;24.64;2011;7.68
100015762797;NYSEG;OAKDALE#5 12.5KV;LTC-TF 1-12/16/20/22;12.5;22.4;24.64;;;24.64;2011;7.29
100015762798;NYSEG;OAKDALE#6 12.5KV;LTC-TF 1-12/16/20/22;12.5;22.4;24.64;;;24.64;2011;7.53
;NYSEG;OUAQUGA E 8.32KV;STEP-TRF 3-333KVA;8.32;1;1.1000000000000001;;;1.1000000000000001;2011;0.5
100015762228;NYSEG;OWEGO 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;2.88
100015762229;NYSEG;OWEGO 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;2.88
100015762230;NYSEG;OWEGO 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;2.88
100015761871;NYSEG;RANO BLVD#1 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;10.5;11.55;;;11.55;2011;3.04
100015761872;NYSEG;RANO BLVD#1 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;10.5;11.55;;;11.55;2011;3.04
100015761873;NYSEG;RANO BLVD#1 4.8KV;S-TRF 3-2.5/3.125/0/;4.8;10.5;11.55;;;11.55;2011;3.04
100015761875;NYSEG;RANO BLVD#2 12.5KV;LTC 1-12/16/20/22.4M;12.5;22.4;24.64;;;24.64;2011;13.87
100015763455;NYSEG;SANITARIA  4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;3.12
100015763456;NYSEG;SANITARIA  4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;3.12
100015763457;NYSEG;SANITARIA  4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;3.12
100015762659;NYSEG;TARBELL 4.8KV;SUB-TRF 1-2/2.3/2.57;4.8;2.58;2.83;;;2.83;2011;1.63
100015761974;NYSEG;VESTAL#1 4.8KV;SUB-TRF 3-1667/1917K;4.8;5.75;6.33;;;6.33;2011;3.77
100015761975;NYSEG;VESTAL#1 4.8KV;SUB-TRF 3-1667/1917K;4.8;5.75;6.33;;;6.33;2011;3.77
100015761976;NYSEG;VESTAL#1 4.8KV;SUB-TRF 3-1667/1917K;4.8;5.75;6.33;;;6.33;2011;3.77
100015761977;NYSEG;VESTAL#2 12.5KV;LTC 1-7.5/9.375/0/10;12.5;10.5;11.55;;;11.55;2011;3.85
100015762646;NYSEG;VINCENT COR 4.8KV;SUB-TRF 3-667KVA;4.8;2;2.2000000000000002;;;2.2000000000000002;2011;1.66
100015762647;NYSEG;VINCENT COR 4.8KV;SUB-TRF 3-667KVA;4.8;2;2.2000000000000002;;;2.2000000000000002;2011;1.66
100015762648;NYSEG;VINCENT COR 4.8KV;SUB-TRF 3-667KVA;4.8;2;2.2000000000000002;;;2.2000000000000002;2011;1.66
100015761932;NYSEG;WEST UNION 12.5KV;LTC-TF 1-12/16/20/22;12.5;22.4;24.64;;;24.64;2011;3.38
100015762233;NYSEG;WHIG ST 4.8KV;LTC 1-2.5/3.125/0/3.;4.8;3.5;3.85;;;3.85;2011;3.19
100015762059;NYSEG;WHITNEY AV#1 4.8KV;LTC 1-7.5/9.375/0/10;4.8;10.5;11.55;;;11.55;2011;4.0999999999999996
100015762060;NYSEG;WHITNEY AV#2 4.8KV;LTC 1-7.5/9.375/0/10;4.8;10.5;11.55;;;11.55;2011;4.38
100015762306;NYSEG;WHITNEY PT 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;3.67
100015762307;NYSEG;WHITNEY PT 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;3.67
100015762308;NYSEG;WHITNEY PT 4.8KV;SUB-TRF 3-1667KVA;4.8;5;5.5;;;5.5;2011;3.67
100015762670;NYSEG;WINDSOR 8.32KV;S-TRF 3-1667/0/0/186;8.32;5.6;6.16;;;6.16;2011;3.58
100015762671;NYSEG;WINDSOR 8.32KV;S-TRF 3-1667/0/0/186;8.32;5.6;6.16;;;6.16;2011;3.58
100015762672;NYSEG;WINDSOR 8.32KV;S-TRF 3-1667/0/0/186;8.32;5.6;6.16;;;6.16;2011;3.58
